factor,meanIC,ICt,ICIR,spread_ann,net_spread_ann,longonly_ann,monotonic
Value,0.04653746025954654,2.8073126940566446,0.4495297988528759,0.22570442097382973,0.2203080646985261,0.12342245529660864,True
Quality,-0.0015710303376136113,-0.0728314424260378,-0.011662364414642929,-0.09021597813039914,-0.09270905292264292,-0.037514669858700646,False
Momentum,-0.0058097433880911755,-0.4710843841324196,-0.04147666729652372,-0.08339841178272817,-0.11210102448290657,-0.041675869449973944,False
Risk,0.025382314283811658,1.8810143540526691,0.16561407928371805,-0.02089280296975085,-0.04350185954823289,0.0029439301807746843,False
Liquidity,-0.0075157472373804345,-0.5576893893364233,-0.049101812828943756,-0.038677856971293695,-0.042097232147050793,-0.02249375157489257,False
COMPOSITE,0.03466348165800936,1.8828649065553071,0.30149968135108923,0.11300158151375013,0.10194894993480276,0.04640113032829389,False
